Amyris,2.31M,390.77M,166.93M,,0.28
AngioDynamics,306.02K,361.12M,476.45M,,0.71
Anika Therap,210.45K,443.18M,114.61M,15.83,1.16
Apex Global Brands Inc,268.13K,2.79M,21.67M,,1.37
Apogee Enterp,277.65K,496.27M,1.39B,8.14,1.54
ARCA Biopharma,29.47K,5.96M,,,2.12
ArcBest Corp,256.45K,485.69M,2.99B,13.07,1.61
Arena Pharma,643.67K,2.45B,806.43M,6.24,1.36
Ark Restaurants Corp,4.42K,41.24M,165.32M,9.28,1.18
Arrow Financial,33.49K,401.63M,71.09M,10.87,0.64
Arrowhead Pharma,1.76M,3.74B,163.59M,64.82,1.94
Artesian Res,22.05K,345.83M,83.60M,23.38,0.04
Arts-Way Manufacturing,69.82K,9.26M,23.79M,,0.4
Ascena Retail,404.45K,15.68M,5.06B,,1.68
Asia Pacific Wire & Cable,12.87K,12.85M,249.66M,,1.37
Assertio Therapeutics,1.72M,73.16M,229.51M,,2.09
Asta Funding,14.34K,73.82M,19.96M,10.63,0.42
Astec Ind.,129.69K,864.64M,1.17B,38.77,1.21
Astronics Corp,342.03K,271.61M,772.70M,5.98,1.83
AstroNova,41.17K,44.36M,133.45M,26.07,0.57
Astrotech Corp,1.36M,22.42M,290.00K,,-0.73
Asure Software Inc,107.84K,96.65M,149.31M,,1.32
ATA Inc,20.24K,23.21M,2.22M,,2.61
Athersys,2.94M,508.85M,5.64M,,-1.55
Atlantic American,2.19K,41.76M,198.18M,,0.37
Atlanticus Holdings Corp,40.93K,175.91M,332.37M,6.43,0.2
ATN Int,51.15K,982.17M,438.72M,,0.18
AtriCure,417.85K,1.53B,230.81M,,0.59
ATRION Corp,7.92K,1.25B,155.06M,33.71,0.24
Auburn National B,4.19K,138.69M,18.45M,15.09,0.66
AudioCodes,495.85K,780.07M,200.29M,221.89,0.46
Autobytel Inc,56.12K,9.39M,113.97M,,0.47
Avadel Pharma,762.74K,439.45M,59.21M,,1.38
AVEO Pharma,218.78K,64.32M,28.79M,6.54,0.86
Aviat Networks,19.06K,53.92M,232.88M,7.81,1.08
Avid Technology,367.39K,262.29M,411.79M,41.33,1.46
Aware,20.16K,57.03M,12.20M,,0.08
Axcelis Tech,321.68K,716.06M,342.96M,39.16,1.28
Axon Enterprise,776.03K,4.56B,530.86M,5705.74,0.81
AXT Inc,278.81K,149.02M,83.26M,,1.48
B Communications,5.88K,105.11M,,34.87,1.9
B.O.S. Better Onl,26.78K,7.75M,33.81M,,0.84
Balchem Corp,128.32K,3.18B,643.70M,39.97,0.79
Ballard,4.18M,2.38B,106.33M,,1.5
BancFirst Corp,104.19K,1.12B,243.77M,8.95,1.26
Bank of Commerce,71.39K,124.84M,32.04M,9.04,0.82
Bank of Marin,37.49K,446.12M,55.60M,13.13,0.85
Bank of South Car,10.11K,87.88M,10.83M,11.97,0.45
Bank Ozk,1.29M,2.33B,627.34M,5.49,1.85
BankFinancial,31.77K,114.51M,35.48M,10.74,0.57
Banner Corp,264.85K,1.22B,306.00M,8.11,1.06
Barrett Busi,59.41K,331.26M,942.31M,6.8,1.48
Bassett,82.33K,62.39M,443.37M,,1.38
BBQ Holdings,29.68K,18.36M,82.27M,,1.49
BCB Bancorp,48.33K,183.83M,64.74M,9.28,0.83
Beacon Roofing,727.62K,1.26B,7.06B,,1.6
Beasley Broadc,52.08K,65.47M,261.55M,4.34,1.58
Bel Fuse (B),50.30K,104.53M,492.42M,,2.27
Bel Fuse Inc,2.91K,89.68M,492.42M,,2.27
BGC Partners,3.60M,1.01B,2.10B,17.98,1.95
Big5 Sporting,388.24K,21.88M,996.50M,2.39,1.28
Bioanalytical Sys,36.38K,46.87M,47.91M,,1.19
BioDelivery,1.13M,410.43M,111.40M,,0.65
Biogen,2.19M,58.10B,14.38B,10.26,0.69
BIOLASE,1.97M,16.94M,37.95M,,2.5
BioLineRx Ltd,67.44K,22.43M,,,
BioSpecifics,48.95K,399.49M,38.18M,17.13,0.95
BioTelemetry,340.05K,1.51B,439.10M,50.21,1.3
BJs Restaurants,805.65K,323.87M,1.16B,7.79,1.54
Black Diamond,134.78K,293.73M,229.43M,15.43,1.17
Blackbaud,497.78K,2.59B,900.42M,214.25,1.2
Blueknight Energy,143.72K,74.28M,371.08M,,1.76
BOK Financial Corp,383.28K,3.41B,1.13B,7.16,1.66
Bonso Electronics Int,4.17K,10.60M,8.77M,,0.87
BOQI International Medical,953.73K,20.43M,1.12M,,0.32
Bottomline Tech,325.93K,1.68B,434.55M,283.94,1.22
BPFH Inc,583.98K,598.67M,204.81M,7.54,1.19
Bridge Bancorp,64.86K,378.80M,105.34M,7.59,1.13
Bridgeline Digital,161.03K,2.50M,10.41M,,2.07
Bridgford Foods C,10.77K,191.97M,190.38M,28.98,0.35
BroadVision,49.74K,21.16M,3.37M,,0.07
Broadway Financial,8.57K,38.69M,8.91M,,0.97
Broadwind Energy,43.80K,26.96M,178.22M,,1.5
Brookline BCorp,345.18K,897.79M,191.05M,10.6,1.02
Brooks Auto,597.40K,2.56B,811.98M,86.45,1.35
Bryn Mawr Bank,70.97K,573.39M,139.23M,10.01,0.86
BSQUARE Corp,14.54K,13.04M,59.29M,,1.8
Builders FrstSo,1.72M,1.64B,7.28B,7.3,2.18
C&F Financial,8.75K,131.75M,64.49M,6.99,0.63
C.H.로빈슨,2.10M,9.32B,15.31B,17.03,0.56
C.V.G. Inc,262.70K,46.36M,901.24M,2.93,2.98
Cabot Microelec,297.32K,3.69B,1.10B,48.02,1.31
Cadiz,181.28K,431.56M,440.00K,,-0.55
Cal-Maine Foods,533.44K,1.91B,1.18B,,-0.15
CalAmp Corp,465.61K,178.99M,363.29M,,2.12
Calavo Growers,268.59K,1.14B,1.21B,35.71,1.18
Calumet Specialty,337.97K,143.99M,3.45B,,3.06
Camden National,64.19K,452.33M,106.76M,8.52,1
Camtek Ltd,149.54K,387.88M,134.02M,18.3,1.73
Canadian Solar Inc,939.39K,1.05B,3.20B,6.03,1.66
Canterbury Park,10.34K,47.00M,70.81M,16.97,0.66
Capital Product,154.72K,141.79M,108.38M,,1.53
Capitol Federal Financial,544.08K,1.68B,174.68M,17.53,0.53
Capstone Turbine,145.29K,11.67M,79.38M,,1.17
Cardiovascular,336.03K,1.44B,264.36M,,1.53
Cardtronics,661.23K,924.65M,1.35B,20.02,1.74
Career Edu,671.67K,849.53M,627.70M,12.51,1.71
Carver Bancorp,10.64K,6.81M,12.94M,,1.65
Casella Waste,409.15K,2.11B,743.29M,68.67,1.01
Cass Info,66.10K,493.26M,162.68M,16.43,0.77
Catalyst Pharmaceuticals,2.08M,454.48M,102.31M,14.59,2.04
Cathay General,449.10K,1.93B,408.10M,7.04,1.45
Cavco Ind.,64.55K,1.23B,1.05B,15.01,1.57
CBAK Energy,41.47K,22.17M,17.53M,,3.38
CECO Envir,88.00K,182.78M,341.87M,10.21,1.18
Celldex Therapeutics,332.67K,32.86M,3.58M,,2.86
Celsion,231.73K,32.18M,480.00K,,1.73
Centaurus 2002,363.16K,1.59B,2.40B,20.77,0.19
CenterState,946.55K,2.07B,466.62M,9.01,1
Central European Media,803.58K,836.90M,,10.47,1.2
Central Federal,6.47K,54.41M,26.12M,4.97,0.72
Central Garden & Pet Co.,94.59K,1.71B,2.40B,20.77,0.19
Central Valley,37.46K,160.28M,39.00M,8.11,0.7
Centric Brands,38.09K,49.40M,1.66B,,0.21
Century Bancorp,13.46K,371.94M,89.35M,12.58,1.01
Century Casinos,501.32K,96.47M,218.24M,,1.89
Ceragon,651.52K,156.85M,285.58M,,1.61
Cerus Corp,2.08M,844.88M,93.78M,,1.11
Cesca Therapeutics,353.43K,18.29M,13.04M,,1.23
CEVA,144.78K,605.61M,87.15M,21531.75,1.25
Changyou.com Ltd,204.48K,591.72M,684.86M,3.24,0.71
Charles & Colvard,227.97K,18.11M,33.78M,8.01,0.25
Chart Ind.,696.62K,1.08B,1.30B,22.03,1.53
Cheesecake Fac.,2.38M,853.37M,2.48B,6.57,1.24
Chefs Warehouse,984.65K,389.03M,1.59B,15.18,1.83
Childrens Place,1.06M,401.28M,1.87B,5.59,1.76
China Advanced Construction,247.52K,5.32M,43.65M,,2.1
China Automotive,29.47K,57.87M,315.48M,11.78,1.67
China Biologic Products,136.02K,4.10B,503.75M,29.75,0.94
China Ceramics Co,149.89K,3.50M,3.90M,,0.96
China Finance Onlilne,17.24K,11.04M,26.84M,,1.49
China HGS Real Estate,53.31K,17.43M,34.24M,5.75,1.99
China Jo-Jo Drugs,354.93K,70.16M,113.44M,56.38,0.46
China Natural,19.22K,19.54M,30.80K,,1.86
China Recycling,847.92K,4.83M,1.32M,,1.45
China XD Plastics,158.50K,63.30M,1.44B,0.92,1.37
Chinanet Online,103.66K,14.69M,39.53M,,2.2
ChipMOS Tech,17.15K,13.35B,447.43M,7.7,0.76
Churchill Downs,441.20K,3.89B,1.33B,25.57,1.17
Cinedigm Digital,107.04K,16.52M,43.62M,,1.37
Cirrus Logic,879.63K,4.06B,1.24B,25.46,0.96
Citi Trends,130.38K,121.51M,781.92M,7.2,1.35
Citiz. &North.,20.65K,251.59M,44.62M,12.69,0.45
Citizens Community,19.13K,67.58M,39.77M,7.22,0.89
Citizens Holding,3.27K,107.94M,23.95M,16.62,-0.02
City Holding,72.38K,1.08B,133.27M,12.35,0.65
Civista Bancshares,59.68K,220.49M,59.60M,6.77,0.95
Clean Nrg Fuel,1.23M,358.51M,344.06M,19.53,1.45
Clearfield,23.94K,163.48M,84.32M,38.49,1.03
ClearOne Inc,39.17K,28.14M,25.04M,,0.87
Cleveland BioLabs,1.13M,20.64M,750.00K,,0.88
Clovis Oncology,7.39M,522.22M,143.01M,,2.72
CME그룹,2.47M,67.41B,4.87B,30.92,0.36
CNB Financial,44.65K,255.44M,93.73M,6.53,1.12
Coca-Cola Bott,63.97K,2.27B,4.83B,199.01,0.78
Codexis,415.93K,654.97M,68.46M,,0.66
Codorus Valley,15.32K,136.68M,49.95M,7.28,0.76
Coffee Holding,24.46K,15.48M,105.75M,,1.86
Cogent Comm,416.91K,4.16B,680.29M,103.96,0.3
Cognex Corp,1.30M,8.07B,725.62M,39.05,1.68
Coherent,277.61K,2.82B,1.37B,110.54,1.71
Coherus BioSciences,1.29M,1.05B,356.07M,13.63,2.23
Cohu,320.34K,683.28M,583.33M,,1.9
Collectors Uni,65.37K,162.77M,78.92M,12.33,1.34
Colliers International,100.98K,2.15B,3.05B,21.18,1.8
Colony Bankcorp,14.08K,114.08M,40.80M,10.87,0.7
Columbia Bank,455.05K,1.90B,315.48M,9.81,1.11
Columbia Sports,515.20K,5.02B,3.04B,14.7,0.69
Columbus McKin.,142.96K,574.96M,836.40M,8.58,1.62
Commerce Bancshar,676.04K,6.30B,739.26M,15.41,0.94
Communications Sys,42.62K,45.91M,50.90M,13.95,1.01
Community Tr,48.37K,587.70M,118.45M,9.27,0.84
Community West Bancshares,7.73K,50.83M,25.66M,6.58,0.93
Compugen Ltd,918.92K,692.91M,,,2.17
Computer Prog,113.32K,310.96M,274.64M,15.28,0.49
Computer Task,31.42K,63.74M,394.17M,15.19,0.9
Comstock Homebuil,4.52K,12.75M,14.75M,,0.15
Comtech Tele,347.42K,419.98M,678.74M,18.06,1.98
Conns,1.10M,134.02M,1.54B,1.72,1.83
Consolid. Water,71.19K,223.92M,68.80M,26.19,0.3
Consolidat. Com,935.36K,431.72M,1.34B,,0.95
Consumer Portfolio,21.05K,35.87M,345.80M,6.69,1.73
Corcept Therap,1.13M,1.37B,306.48M,15.56,1.13
Core-Mark,323.52K,1.24B,16.67B,23.26,0.28
Corners. OnDem,959.14K,1.94B,576.52M,,1.4
CorVel Corp,66.10K,1.04B,596.28M,21.92,0.95
CoStar Group,318.00K,23.63B,1.40B,72.7,1.16
Covenant Transpor,212.74K,136.47M,894.52M,16.6,1.42
Cowen Group,373.14K,275.67M,1.05B,16.28,1.41
Cptl City Bank,43.25K,315.09M,84.18M,10.51,0.89
Cptl Southwest,222.92K,220.37M,61.31M,15.48,0.71
CRA Intl,46.72K,278.20M,451.37M,13.93,1.36
Cracker Barrel,645.30K,2.10B,3.12B,9.54,0.98
Craft Brewers,294.15K,298.04M,192.97M,,0.82
Credit Accept,250.26K,5.32B,1.49B,8.44,1.16
Cree Inc,1.60M,4.29B,1.01B,,0.98
Cresud S.A.C.I.F.,238.06K,279.69M,2.23B,,1.25
Crocs,1.51M,1.48B,1.23B,12.39,1.64
Cross Country,277.46K,232.80M,822.23M,,1.13
Crown Crafts,18.03K,45.34M,74.81M,7.13,0.59
CSG Systems,309.47K,1.56B,996.81M,18.16,0.89
CSI Compressco,128.77K,30.84M,476.59M,,2.41
CSP Inc,6.03K,39.77M,95.63M,,1.72
CSX,5.85M,48.20B,11.94B,14.76,1.23
CTi Biopharma,240.61K,69.26M,3.35M,,1.52
CTI Industries Corp,44.24K,3.45M,33.49M,,0.43
Cumberland Phar,12.75K,60.73M,47.53M,,0.45
Curis,159.58K,25.61M,10.01M,,2.2
Cutera,225.40K,207.02M,181.72M,,1.69
CVB Financial,924.91K,2.64B,250.31M,13.06,0.69
CVD Equipment Corp,20.13K,21.99M,19.65M,,1.62
Cyanotech Corp,15.24K,12.93M,29.32M,,0.6
CyberOptics Corp,63.20K,139.85M,59.26M,181.6,0.7
Cyclacel Pharmaceuticals,136.51K,6.65M,,,1.85
Cyren,33.72K,56.35M,38.39M,,0.92
Cytokinetics Inc,917.11K,805.67M,26.86M,,1.23
Cytori Therapeutics,378.58K,6.56M,,,0.45
Daily Journal Corp,1.97K,330.00M,49.91M,30.17,0.62
Daktronics,236.58K,211.86M,610.58M,,0.9
Data I/O Corp,18.46K,26.31M,21.57M,,1.75
Dawson Geophy,59.71K,29.46M,145.78M,,1.89
Denny’s,887.50K,526.05M,541.39M,4.88,1.1
Descartes Systems,152.62K,3.30B,325.79M,84.09,0.9
Destination XL Group,138.02K,17.47M,474.04M,,1.66
Deswell Industries,8.84K,35.35M,69.50M,13.07,0.57
DexCom,1.22M,25.71B,1.48B,252.3,0.53
Diamond Hill,19.52K,326.49M,136.63M,6.06,0.92
Digi International,310.61K,276.48M,254.21M,51.97,1.78
Digimarc Corp,134.76K,175.90M,22.99M,,0.85
Digirad Corp,276.96K,6.36M,114.18M,,0.68
Digital Ally,799.34K,14.91M,10.44M,,0.65
Dime Community,170.45K,524.70M,127.61M,15.22,1.05
Diodes Inc,419.05K,2.42B,1.25B,15.61,1.29
Discovery A,5.66M,11.62B,13.85B,7.63,1.61
Discovery Communications (B),0.67K,15.96B,13.85B,7.63,1.61
Discovery Communications C,4.26M,10.54B,13.85B,7.63,1.61
Dmc Global,273.47K,430.31M,497.69M,12.46,1.21
Donegal Group,34.30K,433.96M,812.16M,9.11,0.09
Donegal Group (B),0.65K,372.22M,812.16M,9.11,0.09
Dorchester Minera,131.21K,393.96M,78.80M,7.2,1.41
Dorman Products,230.61K,2.01B,991.34M,22.62,0.7
DSP Group,223.27K,346.27M,117.61M,,0.69
Dunkin Brands Group,1.29M,4.63B,1.37B,19.45,0.8
Durect Corp,1.27M,395.55M,29.56M,,2.14
DXP Enterprises,115.11K,247.07M,1.27B,7.12,2.85
Dynatronics Corp,835.89K,7.60M,61.65M,,-0.23
Dynavax Tech,1.52M,280.11M,35.21M,,0.78
E-TRADE,6.26M,8.96B,3.15B,10.48,1.25
Eagle Bancorp,235.57K,981.72M,229.25M,7.55,1.05
Eagle Bancorp Mon,24.40K,116.13M,38.39M,9.78,0.71
Eagle Bulk Shipping,576.04K,140.40M,292.38M,,1.37
East West Bancorp,1.96M,4.16B,1.06B,6.33,1.88
Eastern Co,11.85K,125.38M,251.74M,9.39,1.17
Ebix Inc,611.46K,529.67M,580.61M,5.2,1.94
Echo,264.95K,465.41M,2.18B,32.5,1.46
EDAP TMS SA,119.30K,64.53M,988.02K,40.46,1.74
Educational Devel,17.09K,39.91M,116.48M,7.01,1.23
eGain Communications,185.40K,234.98M,69.17M,49.16,0.67
eHealth,1.00M,3.08B,506.20M,54.75,0.22
Electro-Sensors,1.96K,10.92M,8.26M,55.58,0.46
Elmira Savings Bank,5.05K,38.77M,14.53M,11.02,0.59
Eltek Ltd,41.56K,18.53M,26.21M,49.59,-3.29
Emclaire Financial,2.38K,64.41M,20.40M,8.6,0.69
EMCORE Corp,110.06K,74.44M,88.75M,,0.66
Emmis Comm,27.09K,24.74M,53.02M,,1.41
Encore Cptl Gr,543.86K,815.08M,1.40B,4.96,1.52
Endo Int,6.99M,918.68M,2.91B,,1.49
Endologix Inc,436.13K,15.64M,143.37M,,0.48
Energy Recovery,257.05K,408.98M,86.95M,37.17,3.3
ENGlobal Corp,46.77K,23.03M,56.44M,,1.45
Ensign Group,410.59K,2.02B,2.04B,22.4,0.85
Enstar Group,54.80K,3.40B,2.57B,3.73,0.7
Entegris Inc,1.10M,6.99B,1.59B,26.66,1.25
Enterprise Bcor,15.14K,299.57M,77.95M,8.99,0.64
Enterprise Fin.,107.25K,764.69M,186.30M,8.22,1.35
ePlus Inc,71.90K,877.66M,1.55B,11.98,1.08
Erie Indemnity Co,127.09K,8.73B,2.48B,30.99,0.44
Escalade,27.84K,85.00M,180.54M,12.53,0.7
ESSA Bancorp,20.24K,136.95M,37.80M,10.09,0.4
Euro Tech Holding,31.15K,6.68M,8.81M,,0.65
Euronet,839.83K,4.42B,2.75B,14.64,1.26
Euroseas Ltd,48.24K,3.83M,48.37M,,0.92
Evolving Systems,21.48K,9.49M,25.75M,,0.89
EW Scripps A,436.82K,553.36M,1.42B,,1.84
Exact Sciences,2.57M,9.87B,876.29M,,1.74
EXFO,42.20K,202.82M,291.58M,,1.36
ExlService Hldg,247.59K,1.91B,991.34M,27.8,1.13
Exponent,304.03K,3.70B,417.20M,43.98,0.27
Extreme Network,1.90M,375.67M,1.03B,,1.67
EZCORP,808.19K,269.76M,853.98M,35.71,1.72
F.F.I.,45.52K,277.97M,106.67M,6.03,1.13
F5 네트웍스,914.65K,7.48B,2.27B,18.45,0.93
Fanhua,281.94K,1.40B,81.53M,42.79,1.17
Farmer Bros. Co,86.06K,144.40M,579.83M,,1.01
Farmers Ntnl,136.51K,330.18M,66.87M,9.29,0.98
FARO Tech,123.64K,828.70M,381.77M,,1.42
Fauquier Bankshar,5.76K,54.07M,17.81M,7.92,0.86
Female Health,353.41K,207.31M,36.02M,,0.48
Ferroglobe,412.15K,87.94M,1.24B,,2.54
First Bancorp Inc,15.99K,234.91M,47.00M,9.3,0.75
First Bancorp NC,118.85K,701.85M,154.32M,7.88,1.29
First Busey,170.19K,952.86M,243.07M,9.7,1.16
First Business,20.41K,131.90M,64.03M,5.73,1.07
First Capital,4.96K,202.50M,19.83M,18.78,-0.01
First Citizens Bancshares,50.54K,3.50B,921.69M,8.16,1.34
First Community,71.05K,404.24M,56.93M,9.27,0.66
First Community Corp,17.35K,108.65M,27.69M,10.27,0.89
First Defiance,193.49K,561.23M,95.57M,6.36,1.42
First Fin Bcorp,527.87K,1.42B,371.21M,7.33,1.37
First Fin Bshar,657.75K,3.68B,218.73M,21.29,1
First Fin NWest,15.98K,96.87M,32.75M,9.29,0.55
First Interst.,271.65K,1.91B,357.30M,10.47,1.11
First Merchants,240.25K,1.49B,290.32M,8.61,1.27
First Midwest,751.25K,1.50B,448.01M,7.47,1.35
First of Long,78.00K,369.51M,76.25M,9.39,0.61
First Savings Financial,5.28K,100.85M,64.07M,5.98,0.89
First United Corp,26.15K,100.34M,38.56M,7.72,1.09
FirstCash,366.81K,3.10B,1.86B,19.4,0.65
Flex,5.69M,4.29B,24.86B,,1.83
Flexsteel Ind.,36.54K,75.52M,415.05M,,1.5
Fluidigm Corp,721.91K,147.94M,117.25M,,1.89
Flushing Fin.,128.45K,333.84M,145.65M,8.4,0.92
Fonar Corp,34.43K,109.96M,88.46M,7.6,0.77
FormFactor,639.00K,1.67B,589.46M,41.7,1.37
Formula Systems ADR,1.04K,935.91M,1.70B,23.83,0.99
Forrester Rsrch,64.82K,577.47M,461.70M,,0.96
Fortinet,2.20M,18.86B,2.16B,56.46,0.97
Fortress Biotech,508.13K,169.47M,36.63M,,2.19
Forward Air,185.55K,1.46B,1.41B,16.49,1.27
Forward Industries,43.62K,10.77M,35.61M,,0.18
FOX,1.09M,5.69B,9.74B,,1.47
Francescas Hldg,223.05K,8.28M,407.90M,,2.22
Franklin Elect,246.35K,2.32B,1.31B,24.13,1.16
Franklin Fin.,7.03K,125.51M,33.41M,7.9,0.78
Frequency Electro,9.08K,90.80M,44.43M,,0.65
Frontier Com,1.80M,39.55M,8.11B,,1.41
Frp Holdings Ord,17.87K,440.20M,23.75M,44.94,0.71
Fuel Tech,49.98K,10.33M,30.46M,,1.57
FuelCell Energy,18.30M,348.10M,59.23M,,1.92
Fulton Financial,1.25M,1.85B,525.66M,8.45,1.08
Fuwei Films Holdings,23.48K,7.09M,5.47M,,0.53
G-III Apparel,1.12M,502.66M,3.16B,3.22,2.39
Gaia Inc,109.14K,178.15M,53.98M,,0.94
Garmin,1.11M,15.63B,3.76B,15.6,1.02
Genasys Inc,91.26K,115.19M,35.58M,47.89,0.37
Gencor Industries,27.18K,156.36M,78.03M,12.7,0.64
General Finance,24.63K,202.30M,364.43M,9.2,1.42
Genetic Tech,124.55K,12.96M,0.22K,,2.83
GenMark Diagnosti,2.16M,414.49M,88.02M,,1.25
Gentex Corp,2.07M,5.78B,2.33B,13.88,1.16
Gentherm Inc,196.68K,1.17B,971.69M,31.78,1.37
Geospace Tech,77.54K,88.12M,103.63M,19.69,2.21
German American,74.00K,730.00M,117.59M,12.16,0.86
Geron Corp,1.52M,248.43M,460.00K,,1.79
Gevo,199.35K,12.87M,24.49M,,1.72
Giga Media Ltd,23.83K,25.97M,6.64M,,0.35
Gilat Satellite Networks Ltd,656.68K,448.84M,263.49M,12.84,0.98
Glacier Bancorp,399.38K,3.18B,359.15M,14.58,1.02
Gladstone Comm,286.35K,509.56M,114.40M,,0.97
Glen Burnie Banco,2.76K,25.84M,7.96M,16.12,0.78
Global Eagle Entertainment Inc,1.09M,14.41M,656.88M,,1.67
Global Indemnity,18.66K,362.54M,606.36M,5.04,0.6
Globus Maritime,1.16M,3.91M,15.62M,,1.29
Glu Mobile Inc,4.43M,1.03B,411.39M,152.79,0.57
Golar LNG Ltd,2.07M,606.80M,448.76M,,0.56
Golar LNG Partners LP,754.91K,157.31M,223.09M,,0.99
Golden Entertainment,264.88K,206.29M,973.40M,,1.99
Good Times Restau,66.06K,8.09M,116.20M,,1.27
Grand Canyon,801.65K,3.77B,778.65M,14.11,0.5
Gravity Co,34.30K,234.02M,7.94B,7.13,-0.98
Great Elm Capital,48.26K,46.01M,61.08M,,0.88
Great Lakes,485.74K,532.03M,711.52M,10,0.75
Great Southern,46.33K,570.64M,135.26M,7.99,1.13
Green Brick Partners Inc,139.28K,405.42M,791.66M,6.78,1.2
Green Plains,714.84K,162.28M,3.06B,,1.82
Greene County Ban,5.24K,188.40M,30.40M,11.32,0.58
Greenlight Capital Re,317.40K,240.09M,526.88M,,1.17
Griffin Industrial Realty,5.95K,180.78M,44.04M,49.71,0.81
Grifols ADR,1.22M,13.87B,,,
GSI Technology,53.09K,165.81M,47.50M,,1.02
GTX Inc,14.98K,42.70M,2.42M,,1.33
Guaranty Federal,2.70K,60.18M,26.44M,6.48,0.52
Gulf Isl. Fab.,46.88K,47.86M,303.31M,,1.19
Gulf Resources,45.12K,33.69M,10.60M,,0.71
Gyrodyne,1.05K,21.65M,,,0.4
H&E Equipment,400.16K,503.60M,1.35B,5.65,2.43
H.C.C.,296.35K,456.14M,80.73M,8.75,1.1
